City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chililabombwe,-12.3648,27.8229,18.24000000000001,97,100,1.56,ZM,1702337054
1,adamstown,-25.066,-130.1015,21.700000000000045,60,1,1.41,PN,1702337055
2,port-aux-francais,-49.35,70.2167,5.730000000000018,98,99,10.77,TF,1702337055
3,gutao,37.2025,112.1781,-2.089999999999975,93,79,1.39,CN,1702337055
4,tolanaro,-25.0319,46.9987,25.04000000000002,94,20,3.09,MG,1702337055
5,camana,-16.6228,-72.7111,21.170000000000016,81,82,3.01,PE,1702337055
6,long beach,33.767,-118.1892,25.54000000000002,60,0,3.09,US,1702337055
7,aasiaat,68.7098,-52.8699,-1.0,77,100,5.26,GL,1702337055
8,sosnovo-ozerskoye,52.5249,111.5418,-37.349999999999966,100,62,0.41,RU,1702337056
9,kargasok,59.0556,80.8572,-28.909999999999968,93,74,3.13,RU,1702337056
10,puerto natales,-51.7236,-72.4875,10.689999999999998,59,67,3.56,CL,1702337056
11,tiksi,71.6872,128.8694,-22.069999999999965,99,100,3.67,RU,1702337056
12,bouznika,33.7894,-7.1597,19.090000000000032,88,69,3.09,MA,1702337056
13,saint-joseph,-21.3667,55.6167,23.210000000000036,81,37,4.93,RE,1702337057
14,saint-pierre,-21.3393,55.4781,23.82000000000005,69,40,2.57,RE,1702337057
15,katsuura,35.1333,140.3,14.010000000000048,91,100,9.74,JP,1702337057
16,greenville,35.6127,-77.3663,6.010000000000048,81,0,0.0,US,1702337057
17,qarauyl,48.9451,79.255,-23.819999999999965,95,100,8.78,KZ,1702336829
18,port elizabeth,-33.918,25.5701,17.400000000000034,92,20,6.17,ZA,1702337058
19,santa helena de goias,-17.8136,-50.5969,23.910000000000025,81,97,1.27,BR,1702337058
20,geraldton,-28.7667,114.6,28.230000000000018,20,0,5.14,AU,1702337058
21,stanley,54.868,-1.6985,-0.8199999999999932,94,40,0.51,GB,1702337019
22,dryden,49.7833,-92.7503,-5.839999999999975,93,100,5.66,CA,1702337058
23,plastun,44.7561,136.2939,-12.67999999999995,54,100,4.45,RU,1702337058
24,zhezqazghan,47.7833,67.7667,-23.47999999999999,67,6,8.52,KZ,1702337058
25,margaret river,-33.95,115.0667,18.75,61,0,4.32,AU,1702336839
26,whitehorse,60.7161,-135.0538,1.4300000000000068,69,75,7.2,CA,1702337059
27,praia,14.9215,-23.5087,24.30000000000001,78,30,6.17,CV,1702337059
28,conde,-7.2597,-34.9075,25.700000000000045,83,20,2.57,BR,1702337059
29,avarua,-21.2078,-159.775,26.03000000000003,83,75,10.8,CK,1702337059
30,waitangi,-43.9535,-176.5597,14.900000000000034,90,100,4.02,NZ,1702337059
31,la passe,45.5549,-0.8967,14.129999999999995,88,100,5.34,FR,1702337060
32,kailua-kona,19.6406,-155.9956,29.04000000000002,80,40,4.12,US,1702337021
33,prince rupert,54.3161,-130.3201,4.830000000000041,79,0,8.75,CA,1702337060
34,richards bay,-28.783,32.0377,19.420000000000016,94,84,2.28,ZA,1702337060
35,blackmans bay,-43.0167,147.3167,21.400000000000034,58,26,0.45,AU,1702337060
36,olonkinbyen,70.9221,-8.7187,-0.060000000000002274,98,100,6.3,SJ,1702337060
37,yellowknife,62.456,-114.3525,-25.70999999999998,76,20,1.03,CA,1702337061
38,neiafu,-18.65,-173.9833,29.379999999999995,58,20,5.14,TO,1702337061
39,ribeira grande,38.5167,-28.7,13.760000000000048,80,6,0.89,PT,1702337061
40,ghadamis,30.1337,9.5007,13.28000000000003,43,0,2.91,LY,1702337061
41,punta arenas,-53.15,-70.9167,12.060000000000002,47,75,6.69,CL,1702337061
42,wailua homesteads,22.0669,-159.378,28.24000000000001,83,20,4.12,US,1702337061
43,gulnar,36.3415,33.3992,5.430000000000007,80,7,2.25,TR,1702337061
44,zaozersk,69.4005,32.4476,-15.439999999999998,93,28,5.04,RU,1702337062
45,invercargill,-46.4,168.35,11.140000000000043,53,64,8.94,NZ,1702337049
46,gadzhiyevo,69.2551,33.3362,-13.599999999999966,92,94,7.27,RU,1702337062
47,bilibino,68.0546,166.4372,-20.269999999999982,95,100,1.61,RU,1702337062
48,trat,12.5,102.5,24.110000000000014,93,43,1.18,TH,1702337062
49,korla,41.7597,86.1469,-3.6299999999999955,63,72,1.87,CN,1702337063
50,west island,-12.1568,96.8225,25.99000000000001,78,40,2.57,CC,1702337063
51,georgetown,5.4112,100.3354,26.08000000000004,94,20,1.03,MY,1702337025
52,iskateley,67.6803,53.1512,-14.259999999999991,91,100,8.12,RU,1702337063
53,lorca,37.6712,-1.7017,16.74000000000001,38,100,1.81,ES,1702337063
54,hawaiian paradise park,19.5933,-154.9731,26.129999999999995,88,100,2.24,US,1702337063
55,kunda,25.7167,81.5167,14.110000000000014,39,0,1.11,IN,1702337064
56,uturoa,-16.7333,-151.4333,26.960000000000036,76,83,9.08,PF,1702337064
57,kapuskasing,49.4169,-82.4331,-7.949999999999989,79,100,4.63,CA,1702337064
58,al kharijah,25.4514,30.5464,14.870000000000005,50,0,3.35,EG,1702337064
59,hermanus,-34.4187,19.2345,16.850000000000023,86,70,5.78,ZA,1702337064
60,bredasdorp,-34.5322,20.0403,17.29000000000002,85,52,5.76,ZA,1702337065
61,papatowai,-46.5619,169.4708,10.170000000000016,64,54,9.14,NZ,1702337065
62,sumbe,-11.2061,13.8437,25.670000000000016,84,100,0.54,AO,1702337065
63,college,64.8569,-147.8028,-6.029999999999973,77,100,4.63,US,1702337065
64,cockburn town,21.4612,-71.1419,25.980000000000018,78,40,6.17,TC,1702337065
65,laramie,41.3114,-105.5911,2.2100000000000364,61,100,5.14,US,1702337055
66,gizo,-8.103,156.8419,28.010000000000048,75,87,4.3,SB,1702337066
67,edinburgh of the seven seas,-37.0676,-12.3116,13.640000000000043,91,100,9.47,SH,1702337066
68,san antonio oeste,-40.7319,-64.9477,25.710000000000036,35,6,8.94,AR,1702337066
69,mount isa,-20.7333,139.5,29.870000000000005,32,0,5.14,AU,1702337066
70,viqueque,-8.8673,126.3658,26.980000000000018,82,100,1.56,TL,1702337066
71,albany,42.6001,-73.9662,1.9500000000000455,72,16,2.68,US,1702336786
72,andop,7.8611,125.7539,23.760000000000048,91,100,1.41,PH,1702337067
73,kodiak,57.79,-152.4072,-0.2699999999999818,59,0,6.69,US,1702336803
74,bethel,41.3712,-73.414,4.550000000000011,64,100,7.2,US,1702336895
75,yaren,-0.5472,166.916,29.08000000000004,74,17,4.77,NR,1702337067
76,nizhnevartovsk,60.9344,76.5531,-34.98999999999998,75,75,2.0,RU,1702337067
77,quellon,-43.1167,-73.6167,11.090000000000032,88,100,2.81,CL,1702337067
78,walvis bay,-22.9575,14.5053,16.53000000000003,88,18,4.12,NA,1702337068
79,kharp,66.8014,65.8081,-23.319999999999965,96,100,1.56,RU,1702337068
80,uruguaiana,-29.7547,-57.0883,26.960000000000036,65,20,1.54,BR,1702336898
81,shingu,33.7333,135.9833,18.439999999999998,96,100,2.98,JP,1702337068
82,palmer,42.1584,-72.3287,4.360000000000014,64,40,6.69,US,1702336816
83,port mathurin,-19.6833,63.4167,25.890000000000043,76,90,2.39,MU,1702337068
84,grytviken,-54.2811,-36.5092,1.7900000000000205,79,28,4.91,GS,1702337068
85,guerrero negro,27.9769,-114.0611,21.220000000000027,35,74,4.48,MX,1702337069
86,illizi,26.4833,8.4667,10.890000000000043,36,0,2.55,DZ,1702337069
87,nova vicosa,-17.8919,-39.3719,25.680000000000007,82,81,7.74,BR,1702337069
88,thompson,55.7435,-97.8558,-12.909999999999968,85,100,6.17,CA,1702337069
89,prieska,-29.6641,22.7474,19.629999999999995,45,0,1.62,ZA,1702337069
90,ushuaia,-54.8,-68.3,11.810000000000002,47,20,2.57,AR,1702337069
91,serhetabat,35.2799,62.3438,6.400000000000034,71,36,4.82,TM,1702337070
92,rainsville,34.4943,-85.8477,5.470000000000027,48,0,0.0,US,1702337070
93,qaqortoq,60.7167,-46.0333,-1.099999999999966,96,100,4.76,GL,1702337070
